City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
171,Luderitz,NA,2021-05-31 00:05:46,-26.6481,15.1594,57.15,66,0,16.2
172,Vyshneve,UA,2021-05-31 00:07:15,50.3891,30.3705,52.11,89,0,8.95
173,Kizilskoye,RU,2021-05-31 00:07:15,52.7255,58.8937,59.2,88,64,3.87
174,Plouzane,FR,2021-05-31 00:07:16,48.3833,-4.6167,55.45,82,0,10.38
175,Saint Anthony,US,2021-05-31 00:07:16,45.0205,-93.218,64.89,79,75,3.0
176,Port Elizabeth,ZA,2021-05-31 00:03:16,-33.918,25.5701,52.11,72,92,10.31
177,Camacari,BR,2021-05-31 00:07:16,-12.6975,-38.3242,73.06,87,25,4.97
178,Solnechnyy,RU,2021-05-31 00:07:16,50.7214,136.6319,57.56,54,70,4.83
179,Krasnovishersk,RU,2021-05-31 00:07:17,60.4078,57.082,35.19,80,49,5.95
180,Noumea,NC,2021-05-31 00:07:17,-22.2763,166.4572,66.18,65,98,10.29
181,Payakumbuh,ID,2021-05-31 00:07:17,-0.2202,100.6308,70.27,97,75,3.31
182,Novo Aripuana,BR,2021-05-31 00:07:17,-5.1206,-60.3797,79.81,71,82,1.92
183,Iqaluit,CA,2021-05-31 00:06:38,63.7506,-68.5145,38.7,80,100,3.0
184,Pangnirtung,CA,2021-05-31 00:07:18,66.1451,-65.7125,33.85,98,100,4.41
185,Byron Bay,AU,2021-05-31 00:07:18,-28.65,153.6167,69.06,67,74,14.23
186,Abu Zabad,SD,2021-05-31 00:07:18,12.35,29.25,87.84,32,55,4.83
187,Deputatskiy,RU,2021-05-31 00:07:18,69.3,139.9,56.44,44,26,14.72
188,Tynda,RU,2021-05-31 00:07:19,55.1667,124.7167,52.3,82,95,4.68
189,Guerrero Negro,MX,2021-05-31 00:07:19,27.9769,-114.0611,65.25,64,2,19.53
190,Paramirim,BR,2021-05-31 00:07:19,-13.4425,-42.2389,69.57,50,14,5.35
191,Margate,GB,2021-05-31 00:07:19,51.3813,1.3862,53.31,83,4,4.0
192,Saint-Joseph,RE,2021-05-31 00:05:30,-21.3667,55.6167,70.18,76,27,5.39
193,Richards Bay,ZA,2021-05-31 00:06:23,-28.783,32.0377,63.7,69,99,2.62
194,Ilulissat,GL,2021-05-31 00:07:19,69.2167,-51.1,33.82,80,75,12.66
195,Lebu,CL,2021-05-31 00:07:20,-37.6167,-73.65,53.8,94,100,10.36
196,Oktyabrskiy,RU,2021-05-31 00:07:20,54.4815,53.471,45.39,93,66,8.01
197,Hofn,IS,2021-05-31 00:07:20,64.2539,-15.2082,45.59,92,100,17.69
198,Jacinto City,US,2021-05-31 00:07:20,29.7675,-95.2338,83.57,73,75,9.57
199,Shibetsu,JP,2021-05-31 00:07:21,43.659,145.132,47.1,61,75,13.49
200,Szydlowiec,PL,2021-05-31 00:07:21,51.2282,20.8611,51.44,90,95,5.46
201,Chara,RU,2021-05-31 00:07:21,56.9064,118.2631,49.57,73,93,3.29
202,Khorixas,NA,2021-05-31 00:07:21,-20.3667,14.9667,61.02,37,82,2.17
203,Saint George,US,2021-05-31 00:07:22,37.1041,-113.5841,95.47,9,1,1.99
204,Camacha,PT,2021-05-31 00:07:22,33.0833,-16.3333,62.02,63,40,12.66
205,San Cristobal,VE,2021-05-31 00:07:22,7.7669,-72.225,67.08,95,36,2.8
206,Zhigansk,RU,2021-05-31 00:05:53,66.7697,123.3711,54.7,46,4,10.98
207,Gushikawa,JP,2021-05-31 00:07:22,26.3544,127.8686,77.0,87,75,20.89
208,Biltine,TD,2021-05-31 00:07:23,14.5333,20.9167,89.37,14,15,8.9
209,San Pedro,PH,2021-05-31 00:07:23,14.35,121.0167,88.36,77,40,4.83
210,Rio Gallegos,AR,2021-05-31 00:05:38,-51.6226,-69.2181,33.85,69,0,8.05
211,Huarmey,PE,2021-05-31 00:07:23,-10.0681,-78.1522,66.58,86,36,9.55
212,Vao,NC,2021-05-31 00:07:23,-22.6667,167.4833,69.76,57,91,15.5
213,Wheatley,GB,2021-05-31 00:07:24,51.7473,-1.1394,50.67,87,29,4.83
214,Dhidhdhoo,MV,2021-05-31 00:07:24,6.8833,73.1,82.98,74,86,20.09
215,Kruisfontein,ZA,2021-05-31 00:06:24,-34.0033,24.7314,49.89,78,94,5.61
216,San Joaquin,US,2021-05-31 00:07:24,37.9333,-121.3011,99.54,25,1,13.8
217,Yulara,AU,2021-05-31 00:07:24,-25.2406,130.9889,57.04,38,90,4.61
218,Severo-Kurilsk,RU,2021-05-31 00:06:58,50.6789,156.125,38.98,97,100,22.44
