City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Weather,Wind Speed
193,Kloulklubed,100,NE,2021-06-01 02:14:20,78,7.0419,134.2556,88.3,overcast clouds,15.68
194,Skibbereen,100,NE,2021-06-01 02:14:20,93,51.55,-9.2667,53.4,overcast clouds,0.34
195,Awjilah,0,NE,2021-06-01 02:14:21,41,29.1081,21.2869,73.31,clear sky,13.42
196,Sayyan,68,NE,2021-06-01 02:14:21,16,15.1718,44.3244,61.63,broken clouds,3.53
197,Itapetinga,16,NE,2021-06-01 02:09:04,96,-15.2489,-40.2478,65.66,few clouds,2.17
198,Los Llanos De Aridane,0,NE,2021-06-01 02:09:05,84,28.6585,-17.9182,60.55,clear sky,7.96
199,Milkovo,100,NE,2021-06-01 02:09:05,59,54.7167,158.6167,50.56,overcast clouds,4.41
200,Caxito,41,NE,2021-06-01 02:09:05,98,-8.5785,13.6643,69.76,scattered clouds,2.08
201,Iqaluit,90,NE,2021-06-01 02:09:05,93,63.7506,-68.5145,31.73,snow,18.99
202,Winder,90,NE,2021-06-01 02:09:06,77,33.9926,-83.7202,70.02,haze,0.0
203,Teguise,0,NE,2021-06-01 02:09:06,72,29.0605,-13.564,61.02,clear sky,12.66
204,Faya,0,NE,2021-06-01 02:09:06,15,18.3851,42.4509,73.92,clear sky,6.89
205,Meulaboh,87,NE,2021-06-01 02:07:15,82,4.1363,96.1285,80.53,overcast clouds,3.85
206,Dubbo,92,NE,2021-06-01 02:09:06,55,-32.25,148.6167,60.93,overcast clouds,4.61
207,Cayenne,75,NE,2021-06-01 02:04:46,90,4.9333,-52.3333,77.09,broken clouds,9.98
208,Ulagan,5,NE,2021-06-01 02:09:07,37,50.6321,87.9563,61.32,clear sky,1.57
209,Katsuura,74,NE,2021-06-01 02:09:07,71,35.1333,140.3,73.24,broken clouds,8.86
210,Broken Hill,100,NE,2021-06-01 02:09:07,29,-31.95,141.4333,67.59,overcast clouds,12.28
211,Greensboro,20,NE,2021-06-01 02:07:02,70,36.0726,-79.792,64.72,few clouds,3.69
212,Abnub,0,NE,2021-06-01 02:09:07,30,27.2696,31.1511,82.62,clear sky,7.02
213,Mehriz,0,NE,2021-06-01 02:09:07,11,31.5917,54.4318,70.3,clear sky,2.51
214,Ahtopol,100,NE,2021-06-01 02:09:08,90,42.1,27.95,54.07,overcast clouds,9.24
215,Sembakung,81,NE,2021-06-01 02:09:08,69,3.8167,117.25,87.73,broken clouds,2.1
216,Kigoma,100,NE,2021-06-01 02:09:08,71,-4.8769,29.6267,74.37,overcast clouds,5.12
217,Keuruu,31,NE,2021-06-01 02:09:08,96,62.2667,24.7,45.95,scattered clouds,4.36
218,Ulaanbaatar,20,NE,2021-06-01 02:06:23,39,47.9077,106.8832,42.93,few clouds,10.18
219,Kuytun,100,NE,2021-06-01 02:09:09,90,54.3419,101.5036,39.31,light rain,12.93
220,Ostrovnoy,100,NE,2021-06-01 02:09:09,69,68.0531,39.5131,36.81,overcast clouds,15.55
221,Cap-Aux-Meules,100,NE,2021-06-01 02:09:09,100,47.3821,-61.8597,49.8,overcast clouds,17.56
222,Te Anau,82,NE,2021-06-01 02:09:09,76,-45.4167,167.7167,47.39,broken clouds,1.28
223,Kodiak,90,NE,2021-06-01 02:09:10,87,57.79,-152.4072,47.71,moderate rain,9.22
224,Beian,0,NE,2021-06-01 02:09:10,93,63.6559,9.5683,51.67,clear sky,5.75
225,Haines Junction,100,NE,2021-06-01 02:09:10,89,60.7522,-137.5108,46.71,overcast clouds,4.54
226,Trofors,77,NE,2021-06-01 02:09:10,85,65.5333,13.4063,43.95,broken clouds,2.89
227,Dali,89,NE,2021-06-01 02:09:10,57,25.7,100.1833,73.09,overcast clouds,5.82
228,Portgordon,0,NE,2021-06-01 02:09:11,84,57.6635,-3.016,52.95,clear sky,11.74
229,Dikson,100,NE,2021-06-01 02:09:11,96,73.5069,80.5464,30.22,light snow,15.99
230,Vila Do Maio,90,NE,2021-06-01 02:09:11,85,15.1333,-23.2167,72.39,overcast clouds,13.44
231,North Bend,1,NE,2021-06-01 02:09:12,72,43.4065,-124.2243,62.85,clear sky,17.27
232,Yumen,27,NE,2021-06-01 02:09:12,12,40.2833,97.2,68.9,scattered clouds,3.13
233,Porto Novo,100,NE,2021-06-01 02:09:12,74,6.4965,2.6036,81.27,overcast clouds,10.4
234,Dehloran,0,NE,2021-06-01 02:09:12,13,32.6941,47.2679,85.75,clear sky,10.22
235,Pevek,9,NE,2021-06-01 02:09:12,73,69.7008,170.3133,39.16,clear sky,7.02
236,Qeshm,0,NE,2021-06-01 02:09:13,76,26.9581,56.2719,82.29,clear sky,2.55
237,Cidreira,10,NE,2021-06-01 02:09:13,67,-30.1811,-50.2056,52.11,clear sky,5.99
238,Tual,59,NE,2021-06-01 02:09:13,78,-5.6667,132.75,81.66,light rain,16.82
239,Pangnirtung,78,NE,2021-06-01 02:09:13,91,66.1451,-65.7125,26.42,broken clouds,5.95
240,Inyonga,65,NE,2021-06-01 02:09:14,72,-6.7167,32.0667,58.55,broken clouds,4.07
241,Vrede,97,NE,2021-06-01 02:09:14,95,-27.4257,29.1659,44.6,light rain,4.56
242,Alamos,0,NE,2021-06-01 02:09:14,42,27.0167,-108.9333,83.71,clear sky,4.92
243,Saint Anthony,1,NE,2021-06-01 02:09:14,44,45.0205,-93.218,70.75,clear sky,1.01
244,Kedrovyy,22,NE,2021-06-01 02:09:14,34,56.1667,91.8167,55.81,few clouds,7.52
245,San Andres,20,NE,2021-06-01 02:09:15,78,12.5847,-81.7006,82.42,few clouds,10.36
246,Troitskoye,0,NE,2021-06-01 02:09:15,57,52.9821,84.6757,63.18,clear sky,7.96
247,Kirakira,69,NE,2021-06-01 02:09:15,82,-10.4544,161.9205,82.29,light rain,10.96
248,Narsaq,8,NE,2021-06-01 02:09:15,84,60.9167,-46.05,43.02,clear sky,3.33
249,Tessalit,0,NE,2021-06-01 02:09:16,7,20.1986,1.0114,89.67,clear sky,7.76
250,Almunecar,100,NE,2021-06-01 02:09:16,75,36.7339,-3.6907,74.68,overcast clouds,7.27
251,Gravelbourg,99,NE,2021-06-01 02:09:16,43,49.8834,-106.5512,67.46,overcast clouds,1.7
252,Cuenca,99,NE,2021-06-01 02:09:16,77,-2.8833,-78.9833,59.13,overcast clouds,5.75
253,Lasa,0,NE,2021-06-01 02:09:17,74,46.6166,10.7002,49.37,clear sky,3.2
254,Honningsvag,100,NE,2021-06-01 02:09:17,96,70.9821,25.9704,42.17,overcast clouds,17.85
255,Constitucion,99,NE,2021-06-01 02:05:56,87,-35.3333,-72.4167,58.33,light rain,2.8
256,Zhigansk,11,NE,2021-06-01 02:09:17,43,66.7697,123.3711,59.59,few clouds,7.18
257,Deputatskiy,28,NE,2021-06-01 02:09:17,30,69.3,139.9,61.93,scattered clouds,7.23
258,San Francisco,40,NE,2021-06-01 02:05:17,70,37.7749,-122.4194,93.92,scattered clouds,1.99
259,Lumeje,3,NE,2021-06-01 02:09:18,45,-11.55,20.7833,53.28,clear sky,5.39
260,Tateyama,87,NE,2021-06-01 02:09:18,74,34.9833,139.8667,75.15,overcast clouds,5.88
